Date,Open,High,Low,Close,Volume,Adj Close
2016-02-15,1290.619995,1336.170044,1290.619995,1336.170044,000,1336.170044
2016-02-12,1248.280029,1286.670044,1248.280029,1286.670044,000,1286.670044
2016-02-11,1296.339966,1296.339966,1247.060059,1247.060059,000,1247.060059
2016-02-10,1272.160034,1306.170044,1272.109985,1297.819946,000,1297.819946
2016-02-09,1274.589966,1288.52002,1253.630005,1271.449951,000,1271.449951
2016-02-08,1330.900024,1339.599976,1273.27002,1273.949951,000,1273.949951
2016-02-05,1333.660034,1347.459961,1322.680054,1330.109985,000,1330.109985
2016-02-04,1310.900024,1334.829956,1304.829956,1333.719971,000,1333.719971
2016-02-03,1320.540039,1331.619995,1295.50,1305.48999,000,1305.48999
2016-02-02,1340.180054,1340.380005,1314.189941,1320.290039,000,1320.290039
2016-02-01,1357.130005,1365.900024,1335.140015,1342.430054,000,1342.430054
2016-01-29,1339.329956,1359.920044,1335.930054,1356.319946,000,1356.319946
2016-01-28,1360.609985,1366.76001,1328.280029,1333.319946,000,1333.319946
2016-01-27,1377.469971,1377.469971,1353.640015,1365.589966,000,1365.589966
2016-01-26,1351.420044,1376.119995,1332.400024,1375.73999,000,1375.73999
2016-01-25,1362.349976,1367.810059,1345.550049,1354.410034,000,1354.410034
2016-01-22,1320.140015,1364.23999,1320.140015,1361.359985,000,1361.359985
2016-01-21,1290.23999,1319.810059,1283.130005,1312.599976,000,1312.599976
2016-01-20,1332.170044,1332.170044,1289.400024,1290.949951,000,1290.949951
2016-01-19,1311.719971,1341.72998,1311.719971,1332.170044,000,1332.170044
2016-01-18,1306.560059,1322.589966,1300.540039,1306.02002,000,1306.02002
2016-01-15,1339.640015,1348.51001,1296.920044,1305.23999,000,1305.23999
2016-01-14,1359.079956,1359.079956,1326.709961,1339.469971,000,1339.469971
2016-01-13,1352.609985,1377.869995,1352.609985,1360.97998,000,1360.97998
2016-01-12,1348.420044,1369.050049,1345.670044,1351.26001,000,1351.26001
2016-01-11,1348.22998,1362.040039,1342.680054,1348.640015,000,1348.640015
2016-01-08,1359.099976,1379.949951,1348.76001,1348.76001,000,1348.76001
2016-01-07,1379.660034,1379.660034,1326.699951,1357.119995,000,1357.119995
2016-01-05,1398.00,1410.469971,1384.050049,1387.030029,000,1387.030029
2016-01-04,1441.339966,1441.339966,1394.27002,1394.390015,000,1394.390015
2015-12-30,1453.189941,1455.420044,1442.170044,1446.819946,000,1446.819946
2015-12-29,1435.119995,1452.949951,1435.119995,1452.949951,000,1452.949951
2015-12-28,1447.689941,1451.709961,1432.550049,1434.060059,000,1434.060059
2015-12-23,1415.01001,1446.689941,1415.01001,1446.689941,000,1446.689941
2015-12-22,1419.349976,1428.449951,1410.23999,1413.73999,000,1413.73999
2015-12-21,1422.630005,1443.800049,1419.130005,1419.130005,000,1419.130005
2015-12-18,1435.790039,1435.790039,1415.119995,1422.630005,000,1422.630005
2015-12-17,1429.719971,1461.48999,1429.719971,1438.319946,000,1438.319946
2015-12-16,1426.72998,1439.50,1418.869995,1428.02002,000,1428.02002
2015-12-15,1389.26001,1427.109985,1389.26001,1426.469971,000,1426.469971
2015-12-14,1401.810059,1418.660034,1388.780029,1389.26001,000,1389.26001
2015-12-11,1433.380005,1433.380005,1399.900024,1401.140015,000,1401.140015
2015-12-10,1440.01001,1444.670044,1427.589966,1433.410034,000,1433.410034
